RFP Number,Title,Agency,Estimated Value,Deadline,Win Probability,Bid Decision,Status,Assigned To
"140D0423R0003","IT Support Services - Veterans Affairs","Department of Veterans Affairs",2500000,"2024-03-15T00:00:00.000Z",N/A,N/A,QUALIFYING,"alice"
"140D0423R0004","Cybersecurity Assessment Services","Department of Defense",1800000,"2024-04-01T00:00:00.000Z",N/A,N/A,QUALIFYING,"bob"
"70CMSD24R00000071","Cloud Migration Services - GSA","General Services Administration",4200000,"2024-03-25T00:00:00.000Z",N/A,N/A,QUALIFYING,"carol"
"70Z04023Q00000015","Data Analytics Platform Development","Department of Homeland Security",3100000,"2024-04-10T00:00:00.000Z",N/A,N/A,QUALIFYING,"alice"
"DTFACT23R00001","Transportation Data Management System","Department of Transportation",2900000,"2024-03-30T00:00:00.000Z",N/A,N/A,QUALIFYING,"bob"
"HHS75N98023R00123","Healthcare IT Modernization","Department of Health and Human Services",5500000,"2024-04-20T00:00:00.000Z",N/A,N/A,QUALIFYING,"carol"
"693JJ324Q000001","NASA Mission Support Services","National Aeronautics and Space Administration",1200000,"2024-03-20T00:00:00.000Z",N/A,N/A,QUALIFYING,"alice"
"W912QR24R0001","Army Base IT Infrastructure Upgrade","Department of Defense - Army",6800000,"2024-05-01T00:00:00.000Z",N/A,N/A,QUALIFYING,"bob"
"EPA-DC-DW-24-01","Environmental Data Portal Development","Environmental Protection Agency",980000,"2024-03-28T00:00:00.000Z",N/A,N/A,QUALIFYING,"carol"
"AG-3151-P-24-0001","Agricultural Research Database System","Department of Agriculture",750000,"2024-04-05T00:00:00.000Z",N/A,N/A,QUALIFYING,"alice"
"1333ED24Q0001","Education Data Warehouse Implementation","Department of Education",2200000,"2024-04-15T00:00:00.000Z",N/A,N/A,QUALIFYING,"bob"
"NRDAR0001-24","Natural Resource Management System","Department of Interior",1650000,"2024-03-22T00:00:00.000Z",N/A,N/A,QUALIFYING,"carol"
"89243324RFP00001","Energy Efficiency Analytics Platform","Department of Energy",3400000,"2024-04-12T00:00:00.000Z",N/A,N/A,QUALIFYING,"alice"
"HDTRA124Q0001","Defense Threat Reduction IT Services","Department of Defense - DTRA",4900000,"2024-05-10T00:00:00.000Z",N/A,N/A,QUALIFYING,"bob"
"ST1301-24-R-0001","State Department Consular Systems","Department of State",7200000,"2024-05-15T00:00:00.000Z",N/A,N/A,QUALIFYING,"carol"
